Energy,PDOS on D-band
-14.9998,0.0
-14.9898,0.0
-14.9798,0.0
-14.9698,0.0
-14.9598,0.0
-14.9498,0.0
-14.9398,0.0
-14.9298,0.0
-14.9198,0.0
-14.9098,0.0
-14.8998,0.0
-14.8898,0.0
-14.8798,0.0
-14.8698,0.0
-14.8598,0.0
-14.8498,0.0
-14.8398,0.0
-14.8298,0.0
-14.8198,0.0
-14.8098,0.0
-14.7998,0.0
-14.7898,0.0
-14.7798,0.0
-14.7698,0.0
-14.7598,0.0
-14.7498,0.0
-14.7398,0.0
-14.7298,0.0
-14.7198,0.0
-14.7098,0.0
-14.6998,0.0
-14.6898,0.0
-14.6798,0.0
-14.6698,0.0
-14.6598,0.0
-14.6498,0.0
-14.6398,0.0
-14.6298,0.0
-14.6198,0.0
-14.6098,0.0
-14.5998,0.0
-14.5898,0.0
-14.5798,0.0
-14.5698,0.0
-14.5598,0.0
-14.5498,0.0
-14.5398,0.0
-14.5298,0.0
-14.5198,0.0
-14.5098,0.0
-14.4998,0.0
-14.4898,0.0
-14.4798,0.0
-14.4698,0.0
-14.4598,0.0
-14.4498,0.0
-14.4398,0.0
-14.4298,0.0
-14.4198,0.0
-14.4098,0.0
-14.3998,0.0
-14.3898,0.0
-14.3798,0.0
-14.3698,0.0
-14.3598,0.0
-14.3498,0.0
-14.3398,0.0
-14.3298,0.0
-14.3198,0.0
-14.3098,0.0
-14.2998,0.0
-14.2898,0.0
-14.2798,0.0
-14.2698,0.0
-14.2598,0.0
-14.2498,0.0
-14.2398,0.0
-14.2298,0.0
-14.2198,0.0
-14.2098,0.0
-14.1998,0.0
-14.1898,0.0
-14.1798,0.0
-14.1698,0.0
-14.1598,0.0
-14.1498,0.0
-14.1398,0.0
-14.1298,0.0
-14.1198,0.0
-14.1098,0.0
-14.0998,0.0
-14.0898,0.0
-14.0798,0.0
-14.0698,0.0
-14.0598,0.0
-14.0498,0.0
-14.0398,0.0
-14.0298,0.0
-14.0198,0.0
-14.0098,0.0
-13.9998,0.0
-13.9898,0.0
-13.9798,0.0
-13.9698,0.0
-13.9598,0.0
-13.9498,0.0
-13.9398,0.0
-13.9298,0.0
-13.9198,0.0
-13.9098,0.0
-13.8998,0.0
-13.8898,0.0
-13.8798,0.0
-13.8698,0.0
-13.8598,0.0
-13.8498,0.0
-13.8398,0.0
-13.8298,0.0
-13.8198,0.0
-13.8098,0.0
-13.7998,0.0
-13.7898,0.0
-13.7798,0.0
-13.7698,0.0
-13.7598,0.0
-13.7498,0.0
-13.7398,0.0
-13.7298,0.0
-13.7198,0.0
-13.7098,0.0
-13.6998,0.0
-13.6898,0.0
-13.6798,0.0
-13.6698,0.0
-13.6598,0.0
-13.6498,0.0
-13.6398,0.0
-13.6298,0.0
-13.6198,0.0
-13.6098,0.0
-13.5998,0.0
-13.5898,0.0
-13.5798,0.0
-13.5698,0.0
-13.5598,0.0
-13.5498,0.0
-13.5398,0.0
-13.5298,0.0
-13.5198,0.0
-13.5098,0.0
-13.4998,0.0
-13.4898,0.0
-13.4798,0.0
-13.4698,0.0
-13.4598,0.0
-13.4498,0.0
-13.4398,0.0
-13.4298,0.0
-13.4198,0.0
-13.4098,0.0
-13.3998,0.0
-13.3898,0.0
-13.3798,0.0
-13.3698,0.0
-13.3598,0.0
-13.3498,0.0
-13.3398,0.0
-13.3298,0.0
-13.3198,0.0
-13.3098,0.0
-13.2998,0.0
-13.2898,0.0
-13.2798,0.0
-13.2698,0.0
-13.2598,0.0
-13.2498,0.0
-13.2398,0.0
-13.2298,0.0
-13.2198,0.0
-13.2098,0.0
-13.1998,0.0
-13.1898,0.0
-13.1798,0.0
-13.1698,0.0
-13.1598,0.0
-13.1498,0.0
-13.1398,0.0
-13.1298,0.0
-13.1198,0.0
-13.1098,0.0
-13.0998,0.0
-13.0898,0.0
-13.0798,0.0
-13.0698,0.0
-13.0598,0.0
-13.0498,0.0
-13.0398,0.0
-13.0298,0.0
-13.0198,0.0
-13.0098,0.0
-12.9998,0.0
-12.9898,0.0
-12.9798,0.0
-12.9698,0.0
-12.9598,0.0
-12.9498,0.0
-12.9398,0.0
-12.9298,0.0
-12.9198,0.0
-12.9098,0.0
-12.8998,0.0
-12.8898,0.0
-12.8798,0.0
-12.8698,0.0
-12.8598,0.0
-12.8498,0.0
-12.8398,0.0
-12.8298,0.0
-12.8198,0.0
-12.8098,0.0
-12.7998,0.0
-12.7898,0.0
-12.7798,0.0
-12.7698,0.0
-12.7598,0.0
-12.7498,0.0
-12.7398,0.0
-12.7298,0.0
-12.7198,0.0
-12.7098,0.0
-12.6998,0.0
-12.6898,0.0
-12.6798,0.0
-12.6698,0.0
-12.6598,0.0
-12.6498,0.0
-12.6398,0.0
-12.6298,0.0
-12.6198,0.0
-12.6098,0.0
-12.5998,0.0
-12.5898,0.0
-12.5798,0.0
-12.5698,0.0
-12.5598,0.0
-12.5498,0.0
-12.5398,0.0
-12.5298,0.0
-12.5198,0.0
-12.5098,0.0
-12.4998,0.0
-12.4898,0.0
-12.4798,0.0
-12.4698,0.0
-12.4598,0.0
-12.4498,0.0
-12.4398,0.0
-12.4298,0.0
-12.4198,0.0
-12.4098,0.0
-12.3998,0.0
-12.3898,0.0
-12.3798,0.0
-12.3698,0.0
-12.3598,0.0
-12.3498,0.0
-12.3398,0.0
-12.3298,0.0
-12.3198,0.0
-12.3098,0.0
-12.2998,0.0
-12.2898,0.0
-12.2798,0.0
-12.2698,0.0
-12.2598,0.0
-12.2498,0.0
-12.2398,0.0
-12.2298,0.0
-12.2198,0.0
-12.2098,0.0
-12.1998,0.0
-12.1898,0.0
-12.1798,0.0
-12.1698,0.0
-12.1598,0.0
-12.1498,0.0
-12.1398,0.0
-12.1298,0.0
-12.1198,0.0
-12.1098,0.0
-12.0998,0.0
-12.0898,0.0
-12.0798,0.0
-12.0698,0.0
-12.0598,0.0
-12.0498,0.0
-12.0398,0.0
-12.0298,0.0
-12.0198,0.0
-12.0098,0.0
-11.9998,0.0
-11.9898,0.0
-11.9798,0.0
-11.9698,0.0
-11.9598,0.0
-11.9498,0.0
-11.9398,0.0
-11.9298,0.0
-11.9198,0.0
-11.9098,0.0
-11.8998,0.0
-11.8898,0.0
-11.8798,0.0
-11.8698,0.0
-11.8598,0.0
-11.8498,0.0
-11.8398,0.0
-11.8298,0.0
-11.8198,0.0
-11.8098,0.0
-11.7998,0.0
-11.7898,0.0
-11.7798,0.0
-11.7698,0.0
-11.7598,0.0
-11.7498,0.0
-11.7398,0.0
-11.7298,0.0
-11.7198,0.0
-11.7098,0.0
-11.6998,0.0
-11.6898,0.0
-11.6798,0.0
-11.6698,0.0
-11.6598,0.0
-11.6498,0.0
-11.6398,0.0
-11.6298,0.0
-11.6198,0.0
-11.6098,0.0
-11.5998,0.0
-11.5898,0.0
-11.5798,0.0
-11.5698,0.0
-11.5598,0.0
-11.5498,0.0
-11.5398,0.0
-11.5298,0.0
-11.5198,0.0
-11.5098,0.0
-11.4998,0.0
-11.4898,0.0
-11.4798,0.0
-11.4698,0.0
-11.4598,0.0
-11.4498,0.0
-11.4398,0.0
-11.4298,0.0
-11.4198,0.0
-11.4098,0.0
-11.3998,0.0
-11.3898,0.0
-11.3798,0.0
-11.3698,0.0
-11.3598,0.0
-11.3498,0.0
-11.3398,0.0
-11.3298,0.0
-11.3198,0.0
-11.3098,0.0
-11.2998,0.0
-11.2898,0.0
-11.2798,0.0
-11.2698,0.0
-11.2598,0.0
-11.2498,0.0
-11.2398,0.0
-11.2298,0.0
-11.2198,0.0
-11.2098,0.0
-11.1998,0.0
-11.1898,0.0
-11.1798,0.0
-11.1698,0.0
-11.1598,0.0
-11.1498,0.0
-11.1398,0.0
-11.1298,0.0
-11.1198,0.0
-11.1098,0.0
-11.0998,0.0
-11.0898,0.0
-11.0798,0.0
-11.0698,0.0
-11.0598,0.0
-11.0498,0.0
-11.0398,0.0
-11.0298,0.0
-11.0198,0.0
-11.0098,0.0
-10.9998,0.0
-10.9898,0.0
-10.9798,0.0
-10.9698,0.0
-10.9598,0.0
-10.9498,0.0
-10.9398,0.0
-10.9298,0.0
-10.9198,0.0
