Energy,PDOS on D-band
-14.9999,0.0
-14.9899,0.0
-14.9799,0.0
-14.9699,0.0
-14.9599,0.0
-14.9499,0.0
-14.9399,0.0
-14.9299,0.0
-14.9199,0.0
-14.9099,0.0
-14.8999,0.0
-14.8899,0.0
-14.8799,0.0
-14.8699,0.0
-14.8599,0.0
-14.8499,0.0
-14.8399,0.0
-14.8299,0.0
-14.8199,0.0
-14.8099,0.0
-14.7999,0.0
-14.7899,0.0
-14.7799,0.0
-14.7699,0.0
-14.7599,0.0
-14.7499,0.0
-14.7399,0.0
-14.7299,0.0
-14.7199,0.0
-14.7099,0.0
-14.6999,0.0
-14.6899,0.0
-14.6799,0.0
-14.6699,0.0
-14.6599,0.0
-14.6499,0.0
-14.6399,0.0
-14.6299,0.0
-14.6199,0.0
-14.6099,0.0
-14.5999,0.0
-14.5899,0.0
-14.5799,0.0
-14.5699,0.0
-14.5599,0.0
-14.5499,0.0
-14.5399,0.0
-14.5299,0.0
-14.5199,0.0
-14.5099,0.0
-14.4999,0.0
-14.4899,0.0
-14.4799,0.0
-14.4699,0.0
-14.4599,0.0
-14.4499,0.0
-14.4399,0.0
-14.4299,0.0
-14.4199,0.0
-14.4099,0.0
-14.3999,0.0
-14.3899,0.0
-14.3799,0.0
-14.3699,0.0
-14.3599,0.0
-14.3499,0.0
-14.3399,0.0
-14.3299,0.0
-14.3199,0.0
-14.3099,0.0
-14.2999,0.0
-14.2899,0.0
-14.2799,0.0
-14.2699,0.0
-14.2599,0.0
-14.2499,0.0
-14.2399,0.0
-14.2299,0.0
-14.2199,0.0
-14.2099,0.0
-14.1999,0.0
-14.1899,0.0
-14.1799,0.0
-14.1699,0.0
-14.1599,0.0
-14.1499,0.0
-14.1399,0.0
-14.1299,0.0
-14.1199,0.0
-14.1099,0.0
-14.0999,0.0
-14.0899,0.0
-14.0799,0.0
-14.0699,0.0
-14.0599,0.0
-14.0499,0.0
-14.0399,0.0
-14.0299,0.0
-14.0199,0.0
-14.0099,0.0
-13.9999,0.0
-13.9899,0.0
-13.9799,0.0
-13.9699,0.0
-13.9599,0.0
-13.9499,0.0
-13.9399,0.0
-13.9299,0.0
-13.9199,0.0
-13.9099,0.0
-13.8999,0.0
-13.8899,0.0
-13.8799,0.0
-13.8699,0.0
-13.8599,0.0
-13.8499,0.0
-13.8399,0.0
-13.8299,0.0
-13.8199,0.0
-13.8099,0.0
-13.7999,0.0
-13.7899,0.0
-13.7799,0.0
-13.7699,0.0
-13.7599,0.0
-13.7499,0.0
-13.7399,0.0
-13.7299,0.0
-13.7199,0.0
-13.7099,0.0
-13.6999,0.0
-13.6899,0.0
-13.6799,0.0
-13.6699,0.0
-13.6599,0.0
-13.6499,0.0
-13.6399,0.0
-13.6299,0.0
-13.6199,0.0
-13.6099,0.0
-13.5999,0.0
-13.5899,0.0
-13.5799,0.0
-13.5699,0.0
-13.5599,0.0
-13.5499,0.0
-13.5399,0.0
-13.5299,0.0
-13.5199,0.0
-13.5099,0.0
-13.4999,0.0
-13.4899,0.0
-13.4799,0.0
-13.4699,0.0
-13.4599,0.0
