Element,Activity
Ni,0.001908506
Ag,0.010973
PtIr,0.0007962
Pt,0.008299
Au,0.004113
Ni,0.004766
Cu,0.001865
Rh,0.020884389
Cu,0.00149499
Au,0.019162595
Ag,0.033996392
Cu,0.0016
Pd,0.0205
Ni,0.002365
Pt,0.004578
Au,0.02755
Pt,0.00727416
Pt,0.0000463
Au,0.000162
Ag,0.000158
Rh,0.00007037
Pd,0.239301
Ag,0.016398186
Ag,0.016398186
Ni,0.000674
Ir,0.037397172
Rh,0.007974837
Pt,0.02619444
Cu,0.001058411
Ag,0.020987765
Ir,0.024405461
Au,0.008235953
Ni,0.000472183
Ag,0.011176561
Pd,0.020247085
Ag,0.01588
Au,0.0052
Ni,0.001158
Pt,0.002563
Rh,0.00762
Au,0.002983432598
Ag,0.0256083323
Cu,0.00004089330609
