Metal,"time,s",time,"Volume,ml","Area, m2",,,,,Metal dim,"Length, mm","diameter, micro meter",,"unit volume, ml"
Rh,34,34,0.2,0.00007736171909,,,,,Rh,49,500,,0.2
Rh,31.5,65.5,0.4,,,,,,Cu,51.15,204,,
Rh,32.24,97.74,0.6,,,,,,Pd,36.1,619,,
Rh,30.77,128.51,0.8,,,,,,Ni,31,529,,
Rh,33.22,161.73,1,,,,,,,13,,,
Rh,28.65,190.38,1.2,,,,,,,,,,
Rh,27.12,217.5,1.4,,,,,,,,,,
Rh,35.61,253.11,1.6,,,,,,,,,,
Rh,25.85,278.96,1.8,,,,,,,,,,
Rh,28.57,307.53,2,,,,,,,,,,
Rh,36.24,343.77,2.2,,,,,,,,,,
Rh,25.83,369.6,2.4,,,,,,,,,,
Rh,29.65,399.25,2.6,,,,,,,,,,
Rh,35.07,434.32,2.8,,,,,,,,,,
Rh,28.31,462.63,3,,,,,,,,,,
Rh,33.22,495.85,3.2,,,,,,,,,,
Rh,31.07,526.92,3.4,,,,,,,,,,
Rh,31.2,558.12,3.6,,,,,,,,,,
Cu,12.16,12.16,0.2,0.0006138,,,,,,,,,
Cu,24,33.42,0.4,,,,,,,,,,
Cu,21.26,65.4,0.6,,,,,,,,,,
Cu,31.98,108.83,0.8,,,,,,,,,,
Cu,43.43,143.85,1,,,,,,,,,,
Cu,35.02,191.03,1.2,,,,,,,,,,
Cu,47.18,222.76,1.4,,,,,,,,,,
Cu,31.73,258.43,1.6,,,,,,,,,,
Cu,35.67,297.64,1.8,,,,,,,,,,
Cu,39.21,333.87,2,,,,,,,,,,
Cu,36.23,390.14,2.2,,,,,,,,,,
Cu,56.27,434.7,2.4,,,,,,,,,,
Cu,44.56,485.63,2.6,,,,,,,,,,
Cu,50.93,545.46,2.8,,,,,,,,,,
Cu,59.83,589.6,3,,,,,,,,,,
Cu,44.14,606.82,3.2,,,,,,,,,,
Pd,17.22,17.22,0.2,0.00007080358317,,,,,,,,,
Pd,26.33,43.55,0.4,,,,,,,,,,
Pd,22.48,66.03,0.6,,,,,,,,,,
Pd,19.5,85.53,0.8,,,,,,,,,,
Pd,20.67,106.2,1,,,,,,,,,,
Pd,17.72,123.92,1.2,,,,,,,,,,
Pd,16.4,140.32,1.4,,,,,,,,,,
Pd,18.72,159.04,1.6,,,,,,,,,,
Pd,18.95,177.99,1.8,,,,,,,,,,
Pd,17.8,195.79,2,,,,,,,,,,
Pd,17.57,213.36,2.2,,,,,,,,,,
Pd,17.42,230.78,2.4,,,,,,,,,,
Pd,14.72,245.5,2.6,,,,,,,,,,
Pd,13.01,258.51,2.8,,,,,,,,,,
Ni,22.2,22.2,0.2,0.403046552,,,,,,,,,
Ni,20.83,43.03,0.4,,,,,,,,,,
Ni,17.23,60.26,0.6,,,,,,,,,,
Ni,17.8,78.06,0.8,,,,,,,,,,
Ni,16.63,94.69,1,,,,,,,,,,
Ni,15.73,110.42,1.2,,,,,,,,,,
Ni,18.27,128.69,1.4,,,,,,,,,,
Ni,18.62,147.31,1.6,,,,,,,,,,
Ni,15.48,162.79,1.8,,,,,,,,,,
Ni,16.66,179.45,2,,,,,,,,,,
Ni,17.2,196.65,2.2,,,,,,,,,,
Ni,15.58,212.23,2.4,,,,,,,,,,
Ni,16.27,228.5,2.6,,,,,,,,,,
Ni,15.33,243.83,2.8,,,,,,,,,,
Ni,19.67,263.5,3,,,,,,,,,,
Ni,19.57,283.07,3.2,,,,,,,,,,
Ni,19.28,302.35,3.4,,,,,,,,,,
Ni,17.03,319.38,3.6,,,,,,,,,,
Ni,18.18,337.56,3.8,,,,,,,,,,
Ni,16.35,353.91,4,,,,,,,,,,
Ni,15.96,369.87,4.2,,,,,,,,,,
