index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,25,0,0.00976378,0,0,0,0,0,0
1,25,1,0.0195276,0,0,0,0,0,0
2,25,2,0.0292913,0,0,0,0,0,0
3,25,3,0.0390551,0,0,0,0,0,0
4,26,0,0.0488189,0,0,0,0,0,0
5,26,1,0.0585827,0,0,0,0,0,0
6,26,2,0.0683465,0,0,0,0,0,0
7,26,3,0.0781102,0,0,0,0,0,0
8,27,0,0.087874,0,0,0,0,0,0
9,28,0,0.0976378,0,0,0,0,0,0
10,29,0,0.107402,0,0,0,0,0,0
11,30,0,0.117165,0,0,0,0,0,0
12,31,0,0.126929,0,0,0,0,0,0
13,32,0,0.136693,0,0,0,0,0,0
14,33,0,0.146457,0,0,0,0,0,0
15,34,0,0.15622,0,0,0,0,0,0
16,35,0,0.165984,0,0,0,0,0,0
17,36,0,0.175748,0,0,0,0,0,0
18,37,0,0.185512,0,0,0,0,0,0
19,38,0,0.195276,0,0,0,0,0,0
20,39,0,0.205039,0,0,0,0,0,0
21,40,0,0.214803,0,0,0,0,0,0
22,41,0,0.224567,0,0,0,0,0,0
23,42,0,0.234331,0,0,0,0,0,0
24,43,0,0.244094,0,0,0,0,0,0
25,45,0,0.253858,0,0,0,0,0,0
26,45,1,0.263622,0,0,0,0,0,0
27,46,0,0.273386,0,0,0,0,0,0
28,47,0,0.28315,0,0,0,0,0,0
29,48,0,0.292913,0,0,0,0,0,0
30,49,0,0.302677,0,0,0,0,0,0
31,50,0,0.312441,0,0,0,0,0,0
32,51,0,0.322205,0,0,0,0,0,0
33,52,0,0.331969,0,0,0,0,0,0
34,53,0,0.341732,0,0,0,0,0,0
35,54,0,0.351496,0,0,0,0,0,0
36,55,0,0.36126,0,0,0,0,0,0
37,56,0,0.371024,0,0,0,0,0,0
38,57,0,0.380787,0,0,0,0,0,0
39,58,0,0.390551,0,0,0,0,0,0
40,59,0,0.400315,0,0,0,0,0,0
41,60,0,0.410079,0,0,0,0,0,0.0953611
42,61,0,0.419843,0,0,0,0,0,0.267011
43,62,0,0.429606,0,0,0,0,0,0.495878
44,63,0,0.43937,0,0,0,0,0,0.667528
