Energy,PDOS on D-band
-8.5022,3.76e-09
-8.4922,6.8e-09
-8.4822,1.2e-08
-8.4722,2.08e-08
-8.4622,3.54e-08
-8.4522,5.88e-08
-8.4422,9.62e-08
-8.4322,1.538e-07
-8.4222,2.42e-07
-8.4122,3.7e-07
-8.4022,5.58e-07
-8.3922,8.26e-07
-8.3822,1.195e-06
-8.3722,1.696e-06
-8.3622,2.36e-06
-8.3522,3.22e-06
-8.3422,4.3e-06
-8.3322,5.64e-06
-8.3222,7.25e-06
-8.3122,9.14e-06
-8.3022,1.131e-05
-8.2922,1.372e-05
-8.2822,1.635e-05
-8.2722,1.915e-05
-8.2622,2.21e-05
-8.2522,2.5e-05
-8.2422,2.81e-05
-8.2322,3.12e-05
-8.2222,3.45e-05
-8.2122,3.81e-05
-8.2022,4.24e-05
-8.1922,4.76e-05
-8.1822,5.43e-05
-8.1722,6.33e-05
-8.1622,7.49e-05
-8.1522,9.01e-05
-8.1422,0.0001095
-8.1322,0.0001332
-8.1222,0.0001626
-8.1122,0.0001972
-8.1022,0.0002362
-8.0922,0.0002794
-8.0822,0.000326
-8.0722,0.0003747
-8.0622,0.0004216
-8.0522,0.0004664
-8.0422,0.0005071
-8.0322,0.0005395
-8.0222,0.0005635
-8.0122,0.000577
-8.0022,0.000579
-7.9922,0.0005704
-7.9822,0.0005503
-7.9722,0.0005198
-7.9622,0.0004828
-7.9522,0.0004385
-7.9422,0.0003911
-7.9322,0.0003415
-7.9222,0.000292
-7.9122,0.0002456
-7.9022,0.0002023
-7.8922,0.00016434
-7.8822,0.00013159
-7.8722,0.00010472
-7.8622,8.42e-05
-7.8522,7.003e-05
-7.8422,6.257e-05
-7.8322,6.222e-05
-7.8222,6.972e-05
-7.8122,8.5971e-05
-7.8022,0.000112843
-7.7922,0.000150822
-7.7822,0.000202897
-7.7722,0.00027106
-7.7622,0.00035731
-7.7522,0.00046265
-7.7422,0.00058707
-7.7322,0.00073156
-7.7222,0.00089313
-7.7122,0.00107375
-7.7022,0.00125443
-7.6922,0.00144514
-7.6822,0.00163587
-7.6722,0.00181661
-7.6622,0.00198735
-7.6522,0.00212809
-7.6422,0.00223885
-7.6322,0.00232964
-7.6222,0.0023905
-7.6122,0.0024215
-7.6022,0.0024427
-7.5922,0.0024542
-7.5822,0.002466
-7.5722,0.0024882
-7.5622,0.0025309
-7.5522,0.0025939
-7.5422,0.0026974
-7.5322,0.0028212
-7.5222,0.0029752
-7.5122,0.0031492
-7.5022,0.0033231
-7.4922,0.0034867
-7.4822,0.0036297
-7.4722,0.0037319
-7.4622,0.0037833
-7.4522,0.0037737
-7.4422,0.0037131
-7.4322,0.0035814
-7.4222,0.0033889
-7.4122,0.0031555
-7.4022,0.0028816
-7.3922,0.0025772
-7.3822,0.0022527
-7.3722,0.0019381
-7.3622,0.0016337
-7.3522,0.0013496
-7.3422,0.0010959
-7.3322,0.0008716
-7.3222,0.00067884
-7.3122,0.00051751
-7.3022,0.00038762
-7.2922,0.00028413
-7.2822,0.00020498
-7.2722,0.00014512
-7.2622,0.000101
-7.2522,7.009e-05
-7.2422,4.975e-05
-7.2322,3.7976e-05
-7.2222,3.3881e-05
-7.2122,3.74e-05
-7.2022,4.991e-05
-7.1922,7.374e-05
-7.1822,0.00011345
-7.1722,0.00017391
-7.1622,0.0002645
-7.1522,0.0003948
-7.1422,0.0005791
-7.1322,0.0008333
-7.1222,0.001177
-7.1122,0.0016249
-7.1022,0.002208
-7.0922,0.002927
-7.0822,0.003812
-7.0722,0.004864
-7.0622,0.006083
-7.0522,0.007468
-7.0422,0.008979
-7.0322,0.010623
-7.0222,0.012188
-7.0122,0.013853
-7.0022,0.015314
-6.9922,0.016668
-6.9822,0.017813
-6.9722,0.018647
-6.9622,0.019068
-6.9522,0.019175
-6.9422,0.018971
-6.9322,0.018356
-6.9222,0.017434
-6.9122,0.016311
-6.9022,0.015092
-6.8922,0.013786
-6.8822,0.012501
-6.8722,0.011446
-6.8622,0.010621
-6.8522,0.010098
-6.8422,0.00995
-6.8322,0.01023
-6.8222,0.01095
-6.8122,0.01212
-6.8022,0.01369
-6.7922,0.01567
-6.7822,0.0179
-6.7722,0.02029
-6.7622,0.0228
-6.7522,0.02521
-6.7422,0.02749
-6.7322,0.02943
-6.7222,0.031
-6.7122,0.0322
-6.7022,0.03291
-6.6922,0.03316
-6.6822,0.03317
-6.6722,0.03289
-6.6622,0.0325
-6.6522,0.0323
-6.6422,0.0325
-6.6322,0.0331
-6.6222,0.0345
-6.6122,0.0367
-6.6022,0.0399
-6.5922,0.0439
-6.5822,0.0487
-6.5722,0.0541
-6.5622,0.06
-6.5522,0.066
-6.5422,0.0717
-6.5322,0.0768
-6.5222,0.0811
-6.5122,0.0842
-6.5022,0.086
-6.4922,0.0864
-6.4822,0.0853
-6.4722,0.0831
-6.4622,0.0798
-6.4522,0.0758
-6.4422,0.0715
-6.4322,0.0673
-6.4222,0.0636
-6.4122,0.0607
-6.4022,0.059
-6.3922,0.0586
-6.3822,0.06
-6.3722,0.0629
-6.3622,0.0675
-6.3522,0.0739
-6.3422,0.0818
-6.3322,0.0912
-6.3222,0.1019
-6.3122,0.114
-6.3022,0.1271
-6.2922,0.1413
-6.2822,0.1563
-6.2722,0.1721
-6.2622,0.1888
-6.2522,0.2053
-6.2422,0.2226
-6.2322,0.2396
-6.2222,0.256
-6.2122,0.2716
-6.2022,0.2861
-6.1922,0.298
-6.1822,0.308
-6.1722,0.316
-6.1622,0.321
-6.1522,0.322
-6.1422,0.32
-6.1322,0.317
-6.1222,0.31
-6.1122,0.302
-6.1022,0.293
-6.0922,0.283
-6.0822,0.2742
-6.0722,0.2669
-6.0622,0.2611
-6.0522,0.2579
-6.0422,0.2566
-6.0322,0.2581
-6.0222,0.2616
-6.0122,0.2679
-6.0022,0.276
-5.9922,0.2858
-5.9822,0.2961
-5.9722,0.3068
-5.9622,0.3169
-5.9522,0.3271
-5.9422,0.3356
-5.9322,0.3441
-5.9222,0.3506
-5.9122,0.3561
-5.9022,0.3604
-5.8922,0.3645
-5.8822,0.369
-5.8722,0.373
-5.8622,0.378
-5.8522,0.385
-5.8422,0.393
-5.8322,0.404
-5.8222,0.416
-5.8122,0.433
-5.8022,0.452
-5.7922,0.474
-5.7822,0.499
-5.7722,0.526
-5.7622,0.555
-5.7522,0.585
-5.7422,0.615
-5.7322,0.644
-5.7222,0.672
-5.7122,0.699
-5.7022,0.724
-5.6922,0.746
-5.6822,0.768
