Energy,PDOS on D-band
-15.0004,0.0
-14.9904,0.0
-14.9804,0.0
-14.9704,0.0
-14.9604,0.0
-14.9504,0.0
-14.9404,0.0
-14.9304,0.0
-14.9204,0.0
-14.9104,0.0
-14.9004,0.0
-14.8904,0.0
-14.8804,0.0
-14.8704,0.0
-14.8604,0.0
-14.8504,0.0
-14.8404,0.0
-14.8304,0.0
-14.8204,0.0
-14.8104,0.0
-14.8004,0.0
-14.7904,0.0
-14.7804,0.0
-14.7704,0.0
-14.7604,0.0
-14.7504,0.0
-14.7404,0.0
-14.7304,0.0
-14.7204,0.0
-14.7104,0.0
-14.7004,0.0
-14.6904,0.0
-14.6804,0.0
-14.6704,0.0
-14.6604,0.0
-14.6504,0.0
-14.6404,0.0
-14.6304,0.0
-14.6204,0.0
-14.6104,0.0
-14.6004,0.0
-14.5904,0.0
-14.5804,0.0
-14.5704,0.0
-14.5604,0.0
-14.5504,0.0
-14.5404,0.0
-14.5304,0.0
-14.5204,0.0
-14.5104,0.0
-14.5004,0.0
-14.4904,0.0
-14.4804,0.0
-14.4704,0.0
-14.4604,0.0
-14.4504,0.0
-14.4404,0.0
-14.4304,0.0
-14.4204,0.0
-14.4104,0.0
-14.4004,0.0
-14.3904,0.0
-14.3804,0.0
-14.3704,0.0
-14.3604,0.0
-14.3504,0.0
-14.3404,0.0
-14.3304,0.0
-14.3204,0.0
-14.3104,0.0
-14.3004,0.0
-14.2904,0.0
-14.2804,0.0
-14.2704,0.0
-14.2604,0.0
-14.2504,0.0
-14.2404,0.0
-14.2304,0.0
-14.2204,0.0
-14.2104,0.0
-14.2004,0.0
-14.1904,0.0
-14.1804,0.0
-14.1704,0.0
-14.1604,0.0
-14.1504,0.0
-14.1404,0.0
-14.1304,0.0
-14.1204,0.0
-14.1104,0.0
-14.1004,0.0
-14.0904,0.0
-14.0804,0.0
-14.0704,0.0
-14.0604,0.0
-14.0504,0.0
-14.0404,0.0
-14.0304,0.0
-14.0204,0.0
-14.0104,0.0
-14.0004,0.0
-13.9904,0.0
-13.9804,0.0
-13.9704,0.0
-13.9604,0.0
-13.9504,0.0
-13.9404,0.0
-13.9304,0.0
-13.9204,0.0
-13.9104,0.0
-13.9004,0.0
-13.8904,0.0
-13.8804,0.0
-13.8704,0.0
-13.8604,0.0
-13.8504,0.0
-13.8404,0.0
-13.8304,0.0
-13.8204,0.0
-13.8104,0.0
-13.8004,0.0
-13.7904,0.0
-13.7804,0.0
-13.7704,0.0
-13.7604,0.0
-13.7504,0.0
-13.7404,0.0
-13.7304,0.0
-13.7204,0.0
-13.7104,0.0
-13.7004,0.0
-13.6904,0.0
-13.6804,0.0
-13.6704,0.0
