Energy,PDOS on D-band
-14.9997,0.0
-14.9897,0.0
-14.9797,0.0
-14.9697,0.0
-14.9597,0.0
-14.9497,0.0
-14.9397,0.0
-14.9297,0.0
-14.9197,0.0
-14.9097,0.0
-14.8997,0.0
-14.8897,0.0
-14.8797,0.0
-14.8697,0.0
-14.8597,0.0
-14.8497,0.0
-14.8397,0.0
-14.8297,0.0
-14.8197,0.0
-14.8097,0.0
-14.7997,0.0
-14.7897,0.0
-14.7797,0.0
-14.7697,0.0
-14.7597,0.0
-14.7497,0.0
-14.7397,0.0
-14.7297,0.0
-14.7197,0.0
-14.7097,0.0
-14.6997,0.0
-14.6897,0.0
-14.6797,0.0
-14.6697,0.0
-14.6597,0.0
-14.6497,0.0
-14.6397,0.0
-14.6297,0.0
-14.6197,0.0
-14.6097,0.0
-14.5997,0.0
-14.5897,0.0
-14.5797,0.0
-14.5697,0.0
-14.5597,0.0
-14.5497,0.0
-14.5397,0.0
-14.5297,0.0
-14.5197,0.0
-14.5097,0.0
-14.4997,0.0
-14.4897,0.0
-14.4797,0.0
-14.4697,0.0
-14.4597,0.0
-14.4497,0.0
-14.4397,0.0
-14.4297,0.0
-14.4197,0.0
-14.4097,0.0
-14.3997,0.0
-14.3897,0.0
-14.3797,0.0
-14.3697,0.0
-14.3597,0.0
-14.3497,0.0
-14.3397,0.0
-14.3297,0.0
-14.3197,0.0
-14.3097,0.0
-14.2997,0.0
-14.2897,0.0
-14.2797,0.0
-14.2697,0.0
-14.2597,0.0
-14.2497,0.0
-14.2397,0.0
-14.2297,0.0
-14.2197,0.0
-14.2097,0.0
-14.1997,0.0
-14.1897,0.0
-14.1797,0.0
-14.1697,0.0
-14.1597,0.0
-14.1497,0.0
-14.1397,0.0
-14.1297,0.0
-14.1197,0.0
-14.1097,0.0
-14.0997,0.0
-14.0897,0.0
-14.0797,0.0
-14.0697,0.0
-14.0597,0.0
-14.0497,0.0
-14.0397,0.0
-14.0297,0.0
-14.0197,0.0
-14.0097,0.0
-13.9997,0.0
-13.9897,0.0
-13.9797,0.0
-13.9697,0.0
-13.9597,0.0
-13.9497,0.0
-13.9397,0.0
-13.9297,0.0
-13.9197,0.0
-13.9097,0.0
-13.8997,0.0
-13.8897,0.0
-13.8797,0.0
-13.8697,0.0
-13.8597,0.0
-13.8497,0.0
-13.8397,0.0
-13.8297,0.0
-13.8197,0.0
-13.8097,0.0
-13.7997,0.0
-13.7897,0.0
